term,domain
"build",frontend
"built",frontend
"css",frontend
"equivalent",frontend
"html",frontend
"Html",frontend
"HTML",frontend
"javascript",frontend
"Javascript",frontend
"JavaScript",frontend
"javascriptreact",frontend
"less",frontend
"Quick",frontend
"scss",frontend
"squiggly",frontend
"typescript",frontend
"Typescript",frontend
"TypeScript",frontend
"typescriptreact",frontend
"expression",backend
"expressions",backend
"node",backend
"node_modules",backend
"nodejs",backend
"sql",backend
"SQL",backend
"against",ai
"contain",ai
"email1",ai
"email2",ai
"emailaddress",ai
"Explained",ai
"main",ai
"plaintext",ai
"remaining",ai
"retained",ai
"trailing",ai
"Trailing",ai
"ukrainian",ai
"Ukrainian",ai
"0be06161e1fc",other
"0xfeef",other
"100",other
"177296936",other
"177297717",other
"20Checker",other
"20Code",other
"20Collective",other
"20Donate",other
"20Side",other
"20Software",other
"20Spell",other
"20Sponsor",other
"20Street",other
"26LNBP2Q6MKCY",other
"3740137",other
"4178",other
"4907",other
"54d5a88c",other
"66e013899318",other
"710",other
"88da81d8",other
"9424",other
"9a8c",other
"a596",other
"aaa",other
"ability",other
"above",other
"absolute",other
"acanthopterygious",other
"action",other
"active",other
"add",other
"Add",other
"added",other
"adding",other
"Adding",other
"addresses",other
"addWords",other
"after",other
"After",other
"alek",other
"align",other
"alinea",other
"all",other
"All",other
"ALL",other
"Allow",other
"allowCompoundWords",other
"allowed",other
"allows",other
"also",other
"alt",other
"always",other
"Always",other
"ancient",other
"Ancient",other
"and",other
"any",other
"Any",other
"anything",other
"appear",other
"applicable",other
"applied",other
"apply",other
"arabic",other
"Arabic",other
"are",other
"ARE",other
"AsciiDoc",other
"ASn",other
"assist",other
"associated",other
"australian",other
"Australian",other
"austrian",other
"Austrian",other
"back",other
"badge",other
"bar",other
"Bar",other
"base64",other
"Base64",other
"based",other
"Based",other
"basic",other
"basque",other
"Basque",other
"bd91",other
"because",other
"been",other
"before",other
"behaviour",other
"belong",other
"between",other
"bit",other
"black",other
"blob",other
"block",other
"blocks",other
"bokmal",other
"Bokmål",other
"boolean",other
"both",other
"bottom",other
"brazilian",other
"Brazilian",other
"british",other
"British",other
"Brought",other
"bulgarian",other
"Bulgarian",other
"but",other
"But",other
"called",other
"camel",other
"camel2snake",other
"camelCase",other
"can",other
"canadian",other
"Canadian",other
"cannot",other
"CAPS",other
"case",other
"Case",other
"cases",other
"catalan",other
"Catalan",other
"catch",other
"center",other
"change",other
"changing",other
"char",other
"characters",other
"check",other
"Check",other
"checkbox",other
"checked",other
"checker",other
"Checker",other
"checking",other
"Checking",other
"cities",other
"click",other
"Click",other
"client",other
"Cmd",other
"code",other
"Code",other
"collection",other
"Collective",other
"com",other
"come",other
"command",other
"comment",other
"comments",other
"common",other
"communicate",other
"companies",other
"company",other
"companyName",other
"companyTerms",other
"compound",other
"Compound",other
"concept",other
"concepts",other
"configuration",other
"Configuration",other
"considered",other
"const",other
"controlled",other
"Controls",other
"coroutine",other
"correct",other
"could",other
"cPzr7XGAOJNurPL0G8I2kU0UhKcqFssoKvFTR7z0T3VJfK37vS025uKroHfJ9nA6WWbHZ",other
"croatian",other
"Croatian",other
"csharp",other
"cspell",other
"cSpell",other
"cSPELL",other
"CStyleComment",other
"Ctrl",other
"curled",other
"CURLedRequest",other
"curls",other
"CURLs",other
"current",other
"currently",other
"cursor",other
"custom",other
"custom_dictionary",other
"customDictionaries",other
"CustomDictionary",other
"CustomDictionaryPath",other
"CustomDictionaryScope",other
"Customization",other
"CyduuVY",other
"czech",other
"Czech",other
"danish",other
"Danish",other
"Dart",other
"debounce",other
"def",other
"default",other
"Default",other
"Define",other
"defined",other
"Defines",other
"delay",other
"Derived",other
"description",other
"Description",other
"determined",other
"determines",other
"Development",other
"Diagnostic",other
"diagnosticLevel",other
"dict",other
"dictionaries",other
"Dictionaries",other
"dictionary",other
"Dictionary",other
"DictionaryDefinition",other
"dictionaryDefinitions",other
"DictionaryId",other
"different",other
"directory",other
"disable",other
"Disable",other
"DISABLE",other
"disableCompoundWords",other
"disabled",other
"disallow",other
"display",other
"dll",other
"docs",other
"document",other
"Document",other
"documents",other
"does",other
"doesn",other
"Doesn",other
"donate",other
"done",other
"due",other
"dutch",other
"Dutch",other
"Each",other
"easiest",other
"editing",other
"Editor",other
"either",other
"Elixir",other
"email",other
"Email",other
"enable",other
"Enable",other
"enableCompoundWords",other
"enabled",other
"Enabled",other
"enabledLanguageIds",other
"encodedImage",other
"end",other
"ending",other
"english",other
"English",other
"enter",other
"entire",other
"entry",other
"error",other
"Error",other
"errormessage",other
"errornumber",other
"errors",other
"Errors",other
"EscapeCharacters",other
"esperanto",other
"Esperanto",other
"estonian",other
"Estonian",other
"etc",other
"every",other
"Everything",other
"example",other
"Example",other
"exclude",other
"Exclude",other
"excludeRegExp",other
"excludes",other
"Excluding",other
"exist",other
"expected",other
"ext",other
"extension",other
"extensions",other
"false",other
"FAQ",other
"few",other
"file",other
"File",other
"files",other
"filter",other
"find",other
"Find",other
"fine",other
"finnish",other
"Finnish",other
"first",other
"Fix",other
"flagged",other
"flags",other
"flagWords",other
"folder",other
"Folder",other
"following",other
"fonts",other
"footer",other
"for",other
"For",other
"format",other
"Format",other
"formats",other
"found",other
"french",other
"French",other
"from",other
"FsPath",other
"Functionality",other
"Further",other
"galician",other
"Galician",other
"general",other
"General",other
"generated",other
"german",other
"German",other
"get",other
"getstarted",other
"ggggg",other
"gif",other
"gim",other
"git",other
"github",other
"GitHub",other
"githubsponsors",other
"githubusercontent",other
"give",other
"given",other
"global",other
"Global",other
"glue",other
"goal",other
"goededag",other
"goedemorgen",other
"greek",other
"Greek",other
"guest",other
"hand",other
"has",other
"have",other
"hebrew",other
"Hebrew",other
"help",other
"helpful",other
"Here",other
"hex",other
"HexValues",other
"hhhhh",other
"hide",other
"Hint",other
"Hints",other
"hit",other
"hosted_button_id",other
"how",other
"How",other
"href",other
"hte",other
"HTMLInput",other
"https",other
"human",other
"hungarian",other
"Hungarian",other
"Hunspell",other
"ies",other
"ignore",other
"Ignore",other
"ignored",other
"ignorePaths",other
"ignoreRegExp",other
"ignoreWords",other
"images",other
"img",other
"imgur",other
"implied",other
"include",other
"Include",other
"includeRegExp",other
"includes",other
"Including",other
"incorrect",other
"Indicate",other
"indonesian",other
"Indonesian",other
"Info",other
"Information",other
"ing",other
"inject",other
"input",other
"Input",other
"insensitive",other
"install",other
"Install",other
